title,asin,actors,binding,brand,directors,ean,edition,formatted_price,genre,isbn,label,manufacturer,price_and_currency,product_group,product_type_name,publication_date,publisher,region,release_date,running_time,sales_rank,studio,upc
Girl Most Likely,B00DL47KWI,"[Kristen Wiig, Matt Dillon, Darren Criss]",DVD,,"[Shari Springer Berman, Robert Pulcini]",,,,,,Roadside Attractions,Roadside Attractions,"(None, None)",DVD,ABIS_DVD,,Roadside Attractions,US,,,,Roadside Attractions,
Winter's Tale (2013) (Blu-ray+DVD),B00I6JOD8M,"[Colin Farrell, Jessica Brown Findley]",Blu-ray,Warner Manufacturing,[Akiva Goldman],0883929387809,Standard Edition,$6.25,,,WarnerBrothers,WarnerBrothers,"(9.42, USD)",DVD,ABIS_DVD,2015-02-17,WarnerBrothers,US,2014-06-24,120,6150,WarnerBrothers,883929387809
"Sex and the City: Season 6, Part 1",B0001ENX5E,"[Sarah Jessica Parker, Cynthia Nixon, Kristin Davis, Kim Cattrall]",DVD,Warner Manufacturing,[],9780783127149,,$1.49,,0783127146,HBO Studios,HBO Studios,"(13.75, USD)",DVD,ABIS_DVD,2012-02-07,HBO Studios,US,2012-01-17,360,81301,HBO Studios,026359890420
...And God Created Woman (The Criterion Collection),0780023110,"[Brigitte Bardot, Curd Jürgens, Jean-Louis Trintignant, Jane Marken, Jean Tissier]",DVD,,[Roger Vadim],9780780023116,The Criterion Collection,$17.97,,0780023110,Criterion,Criterion,"(17.97, USD)",DVD,ABIS_DVD,2000-07-11,Criterion,US,2000-11-21,90,52299,Criterion,037429147825
Agnes of God [VHS],6302860326,"[Jane Fonda, Anne Bancroft, Meg Tilly, Anne Pitoniak, Winston Rekert]",VHS Tape,,[Norman Jewison],9786302860320,,$3.46,Drama,6302860326,Sony Pictures Home E,Sony Pictures Home E,"(4.46, USD)",Video,ABIS_VIDEO,,Sony Pictures Home E,US,1996-01-30,98,181674,Sony Pictures Home E,043396605633
Earth 2 - The Complete Series,B0009JE6G6,[Debrah Farentino Clancy Brown Jessica Steen Antonio Sabato],DVD,Earth,"[Janet Davidson, Félix Enríquez Alcalá, Frank De Palma, Daniel Sackheim, Joe Ann Fogle]",9781417051069,,$20.31,,141705106X,Universal Studios Home Entertainment,Universal Studios Home Entertainment,"(21.02, USD)",DVD,ABIS_DVD,,Universal Studios Home Entertainment,US,2005-07-19,2052,32120,Universal Studios Home Entertainment,025192780325
The Missouri Breaks [VHS],0792837339,"[Marlon Brando, Jack Nicholson, Randy Quaid, Kathleen Lloyd, Frederic Forrest]",VHS Tape,,[Arthur Penn],9780792837336,,$5.99,Westerns,0792837339,Fox Home Entertainme,Fox Home Entertainme,"(5.99, USD)",Video,ABIS_VIDEO,,Fox Home Entertainme,US,2002-07-30,126,312632,Fox Home Entertainme,027616622938
Death Race 2 (Unrated Edition),B0046BI81W,"[Danny Trejo, Ving Rhames, Sean Bean, Luke Goss, Frederick Koehler]",DVD,Universal Studios,[Roel Reine],0025192050015,Unrated Edition,$3.00,,,Universal Studios Home Entertainment,Universal Studios Home Entertainment,"(9.25, USD)",DVD,ABIS_DVD,2015-09-01,Universal Studios Home Entertainment,US,2011-01-18,101,12851,Universal Studios Home Entertainment,025192050015
L'Eclisse (The Criterion Collection),B0007989Y8,"[Alain Delon, Monica Vitti, Francisco Rabal, Louis Seigner, Lilla Brignone]",DVD,Image Entertainment,[Michelangelo Antonioni],9780780029590,Criterion Collection,$50.91,,0780029593,Criterion,Criterion,"(50.91, USD)",DVD,ABIS_DVD,2005-03-01,Criterion,US,2005-03-15,118,112515,Criterion,037429202623
Osmosis Jones,B00005QAQH,"[Laurence Fishburne, Chris Rock, David Hyde Pierce, Brandy Norwood, William Shatner]",DVD,Warner Manufacturing,"[Bobby Farrelly, Peter Farrelly]",9780790761480,,$48.00,,0790761483,Warner Home Video,Warner Home Video,"(49.99, USD)",DVD,ABIS_DVD,,Warner Home Video,US,2001-11-13,95,16559,Warner Home Video,085392132324
Roy Orbison - A Black & White Night (DTS),B0000203YR,"[Roy Orbison, Jackson Browne, T Bone Burnett, Elvis Costello, k.d. lang]",DVD,Image Entertainment,[],0014381882629,,$11.29,,,Image Entertainment,Image Entertainment,"(27.97, USD)",DVD,ABIS_DVD,,Image Entertainment,US,1999-11-09,64,76056,Image Entertainment,014381882629
Gossip,B00004YA67,"[James Marsden, Lena Headey, Norman Reedus, Kate Hudson, Eric Bogosian]",DVD,Warner Manufacturing,[Davis Guggenheim],9780790749976,,$14.13,,0790749971,Warner Home Video,Warner Home Video,"(18.17, USD)",DVD,ABIS_DVD,,Warner Home Video,US,2000-10-31,90,41950,Warner Home Video,085391832423
Black Mask [VHS],6305604789,"[Jet Li, Ching Wan Lau, Karen Mok, Françoise Yip, Kong Lung]",VHS Tape,,[Daniel Lee],9786305604785,,$6.99,,6305604789,Live / Artisan,Live / Artisan,"(6.99, USD)",Video,ABIS_VIDEO,,Live / Artisan,US,2000-02-07,99,594899,Live / Artisan,012236105183
Broken Arrow [VHS],6301798600,"[James Stewart, Jeff Chandler, Debra Paget, Basil Ruysdael, Will Geer]",VHS Tape,,[Delmer Daves],9786301798600,VHS video,$6.74,,6301798600,20th Century Fox,20th Century Fox,"(18.94, USD)",Video,ABIS_VIDEO,1988-04-30,20th Century Fox,US,1998-01-01,93,127063,20th Century Fox,086162131035
The Gospel According to St. Matthew [VHS],6301640799,"[Enrique Irazoqui, Margherita Caruso, Susanna Pasolini, Marcello Morante, Mario Socrate]",VHS Tape,,[Pier Paolo Pasolini],9786301640794,VHS video,$12.99,,6301640799,Vci Video,Vci Video,"(12.99, USD)",Video,ABIS_VIDEO,1990-07-31,Vci Video,US,2002-06-25,136,416701,Vci Video,089859071508
Alien vs. Predator / Aliens vs. Predator: Requiem (Unrated Two-Pack),B001451HXO,"[Steven Pasquale, Reiko Aylesworth, John Ortiz]",DVD,TCFHE,[],0024543511489,,$199.99,Fantasy,,20th Century Fox,20th Century Fox,"(199.99, USD)",DVD,ABIS_DVD,2014-05-06,20th Century Fox,US,2008-04-15,101,127230,20th Century Fox,024543511489
Silkwood [VHS],6302844061,"[Meryl Streep, Kurt Russell, Cher, Craig T. Nelson, Diana Scarwid]",VHS Tape,,[Mike Nichols],9786302844061,,$6.99,,6302844061,Nelson Entertainment,Nelson Entertainment,"(6.99, USD)",Video,ABIS_VIDEO,,Nelson Entertainment,US,,131,208282,Nelson Entertainment,042995137736
A Funny Thing Happened on the Way to the Forum [VHS],079283755X,"[Zero Mostel, Phil Silvers, Buster Keaton, Michael Crawford, Jack Gilford]",VHS Tape,,[Richard Lester],9780792837558,,$2.00,,079283755X,Fox Home Entertainme,Fox Home Entertainme,"(5.98, USD)",Video,ABIS_VIDEO,,Fox Home Entertainme,US,1998-01-06,100,295605,Fox Home Entertainme,027616683939
