title,asin,year,vfx,genres,runtimes,production_companies,rating,votes,directors
Lagaan: Once Upon a Time in India,B00005U0JX,2001,True,"['Adventure', 'Drama', 'Musical', 'Romance', 'Sport']",224,"['Aamir Khan Productions', 'Ashutosh Gowariker Productions Pvt. Ltd.', 'Jhamu Sughand Productions']",8.2,83422.0,['Ashutosh Gowariker']
The Incredible Hulk,B001DHXT1G,2008,True,"['Action', 'Adventure', 'Sci-Fi']",112,"['Universal Pictures', 'Marvel Enterprises', 'Marvel Studios', 'Valhalla Motion Pictures', 'MVL Incredible Productions']",6.8,354314.0,['Louis Leterrier']
Mildred Pierce,0792840054,1945,True,"['Crime', 'Drama', 'Film-Noir', 'Mystery', 'Romance']",111,['Warner Bros.'],8.0,17955.0,['Michael Curtiz']
Snow White and the Huntsman,B005LAIHSG,2012,True,"['Action', 'Adventure', 'Drama', 'Fantasy']",127,"['Roth Films', 'Universal Pictures']",6.1,244746.0,['Rupert Sanders']
Vatel,B00005K3OU,2000,True,"['Biography', 'Drama', 'Romance']",103,"['Légende Films', 'Gaumont', 'Nomad Films', 'Timothy Burrill Productions', 'TF1 Films Production', 'Canal+']",6.6,6656.0,['Roland Joffé']
Chronicle,B005LAIGPA,2012,True,"['Sci-Fi', 'Thriller']",USA:84,"['Twentieth Century Fox', 'Davis Entertainment', 'Dune Entertainment']",7.1,217859.0,['Josh Trank']
Carrie,B00009QG7O,1976,True,['Horror'],98,['Red Bank Films'],7.4,138655.0,['Brian De Palma']
Farm House,B002EP8FF6,2008,True,"['Horror', 'Mystery', 'Thriller']",95,['Alliance Group Entertainment'],5.6,2105.0,['George Bessudo']
Predator 2,6301963725,1990,True,"['Action', 'Horror', 'Sci-Fi', 'Thriller']",108,"['Davis Entertainment', 'Lawrence Gordon Productions', 'Silver Pictures', 'Twentieth Century Fox']",6.2,118291.0,['Stephen Hopkins']
The Bridge at Remagen,0792843576,1969,True,"['Action', 'Drama', 'War']",115,['Wolper Pictures'],6.7,7153.0,['John Guillermin']
The Return of the Texas Chainsaw Massacre,0767833902,1994,True,"['Comedy', 'Horror', 'Thriller']",95::(uncut version),"['Genre Pictures', 'Return Productions', 'Ultra Muchos Productions']",3.2,16402.0,['Kim Henkel']
Meet the Spartans,B00177Y9ZW,2008,True,['Comedy'],Argentina:86,"['New Regency Pictures', 'Regency Enterprises']",2.7,93424.0,"['Jason Friedberg', 'Aaron Seltzer']"
They Died with Their Boots On,6301977165,1941,False,"['Biography', 'Drama', 'Romance', 'War', 'Western']",140,['Warner Bros.'],7.3,4876.0,['Raoul Walsh']
The Matrix Revolutions Revisited,B0001BKAEE,2004,False,,,,5.9,15.0,['Josh Oreck']
Gandhi,0800105141,1982,True,"['Biography', 'Drama', 'History']",191,"['International Film Investors', 'National Film Development Corporation of India (NFDC)', 'Goldcrest Films International', 'Indo-British', 'Indo-British Films']",8.1,189129.0,['Richard Attenborough']
Dellamorte Dellamore,6304178360,1994,True,"['Comedy', 'Horror']",105,"['Audifilm', 'Urania Film', 'K.G. Productions', 'Canal+', 'Silvio Berlusconi Communications', 'Bibo Productions', ""Fonds Eurimages du Conseil de l'Europe""]",7.3,17349.0,['Michele Soavi']
The Haunted Mansion,B0001A79EO,2003,True,"['Comedy', 'Family', 'Fantasy', 'Horror', 'Mystery']",UK:87,"['Walt Disney Pictures', 'Gunn Films', 'Doom Buggy Productions']",4.9,35088.0,['Rob Minkoff']
Casino,0783225792,1995,True,"['Crime', 'Drama']",178,"['Universal Pictures', 'Syalis DA', 'Légende Entreprises', 'De Fina-Cappa', 'GGG']",8.2,371748.0,['Martin Scorsese']
Old School,B00005JM1F,2003,True,['Comedy'],88,"['DreamWorks', 'Montecito Picture Company, The']",7.2,194770.0,['Todd Phillips']
White Heat,0790743531,1949,True,"['Action', 'Crime', 'Drama', 'Film-Noir']",114,['Warner Bros.'],8.2,22498.0,['Raoul Walsh']
Rambo,B0015XHP22,2008,True,"['Action', 'Thriller', 'War']",92,"['Lionsgate', 'The Weinstein Company', 'Millennium Films', 'Millennium Films', 'Equity Pictures Medienfonds GmbH & Co. KG IV', 'Emmett/Furla/Oasis Films (EFO Films)', 'Rogue Marble']",7.0,191171.0,['Sylvester Stallone']
The Descendants,B004UXUX4Q,2011,False,"['Comedy', 'Drama']",115,"['Fox Searchlight Pictures', 'Ad Hominem Enterprises', 'Dune Entertainment']",7.3,214728.0,['Alexander Payne']
R.I.P.D.,B008JFUPPI,2013,True,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",USA:96,"['Universal Pictures', 'Original Film', 'Dark Horse Entertainment']",5.6,100200.0,['Robert Schwentke']
Wicker Park,B00067BBMS,2004,True,"['Drama', 'Mystery', 'Romance', 'Thriller']",114,"['Metro-Goldwyn-Mayer', 'Lakeshore Entertainment', ""Mel's Cite du Cinema""]",7.0,47708.0,['Paul McGuigan']
Gone in 60 Seconds,B00004Z4WR,1974,False,"['Action', 'Crime', 'Drama']",105,['H.B. Halicki Mercantile'],6.5,7023.0,['H.B. Halicki']
Bowling for Columbine,B00008DDVU,2002,False,"['Documentary', 'Crime', 'Drama']",120,"['United Artists', 'Alliance Atlantis Communications', 'Salter Street Films International', 'Vif Babelsberger Filmproduktion GmbH & Co. Zweite KG', 'Dog Eat Dog Films', 'Iconolatry Productions Inc.', 'TiMe Film- und TV-Produktions GmbH', 'United Broadcasting Inc.']",8.0,129282.0,['Michael Moore']
Convoy,B00000F2Y6,1978,True,"['Action', 'Drama']",110,"['EMI Films', 'United Artists Corporation']",6.3,12411.0,['Sam Peckinpah']
Atlantis: The Lost Empire,B00005RDSN,2001,True,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi']",95,"['Walt Disney Feature Animation', 'Walt Disney Pictures']",6.8,82027.0,"['Gary Trousdale', 'Kirk Wise']"
Konga,0792846729,1961,True,"['Horror', 'Sci-Fi']",90,['Merton Park Studios'],3.9,1012.0,['John Lemont']
Maniac,6304147074,2012,True,['Horror'],89,"['La Petite Reine', 'Studio 37', 'Canal+', 'Ciné+', 'Blue Underground']",6.1,30012.0,['Franck Khalfoun']
The Muppet Christmas Carol,6302794331,1992,True,"['Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']",85,"['Walt Disney Pictures', 'Jim Henson Productions']",7.7,37437.0,['Brian Henson']
The Upside of Anger,B00005JNP4,2005,True,"['Comedy', 'Drama']",USA:118,"['New Line Cinema', 'Media 8 Entertainment', 'VIP 2 Medienfonds', 'VIP 3 Medienfonds', 'MDP Filmproduktion', 'Sunlight Productions', 'Greentrees Films']",6.9,19776.0,['Mike Binder']
Aoki Ôkami: chi hate umi tsukiru made,B001C4ZQ9I,2007,True,"['Action', 'Adventure', 'Drama']",Greece:136,"['Avex Inc.', 'DG Communications', 'Fields', 'Genki Shobou', 'H.I.S.', 'Japan Airlines', 'Japan FM Network', 'Kadokawa Haruki Jimusho', 'Shôchiku Eiga', 'Smart X', 'T&M', 'Tokyo FM Broadcasting Co.', 'Yahoo Japan', 'Yomiuri Shimbun, The']",6.3,702.0,"[""Shin'ichirô Sawai""]"
Volver,B000N3T0DW,2006,True,"['Comedy', 'Crime', 'Drama', 'Mystery']",121,"['Canal+ España', 'Deseo, El', 'Ministerio de Cultura', 'Televisión Española (TVE)']",7.6,82609.0,['Pedro Almodóvar']
The Paperboy,B009AMAKBI,2012,True,"['Drama', 'Thriller']",107,"['Millennium Films', 'Millennium Films', 'Lee Daniels Entertainment']",5.8,31296.0,['Lee Daniels']
Enchanted April,6302728657,1991,True,['Drama'],95,"['BBC Films', 'Miramax', 'Greenpoint Films']",7.4,5360.0,['Mike Newell']
Underworld: Rise of the Lycans,B001HN697M,2009,True,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",92,"['Sketch Films', 'Lakeshore Entertainment', 'Screen Gems', 'UW3 Film Productions']",6.6,133610.0,['Patrick Tatopoulos']
Braveheart,079213690X,1995,True,"['Biography', 'Drama', 'History', 'War']",178,"['Icon Entertainment International', 'Ladd Company, The', 'B.H. Finance C.V.', 'Icon Productions']",8.4,815546.0,['Mel Gibson']
Die unendliche Geschichte,6303212395,1984,True,"['Adventure', 'Drama', 'Family', 'Fantasy']",102,"['Neue Constantin Film', 'Bavaria Studios', 'Westdeutscher Rundfunk (WDR)', 'Warner Bros.', 'Producers Sales Organization', 'Bavaria Film', 'Dieter Geissler Filmproduktion']",7.4,109573.0,['Wolfgang Petersen']
The Heat,B00E8RK5OC,2013,True,"['Action', 'Comedy', 'Crime']",117,"['Twentieth Century Fox', 'Chernin Entertainment', 'TSG Entertainment', 'Ingenious Media', 'Big Screen Productions', 'Ingenious Film Partners']",6.6,143604.0,['Paul Feig']
Srpski film,B005ER6SNM,2010,True,"['Crime', 'Horror', 'Mystery', 'Thriller']",104,['Contra Film'],5.2,45892.0,['Srdjan Spasojevic']
Changeling,B00188M5TM,2008,True,"['Biography', 'Crime', 'Drama', 'History', 'Mystery', 'Thriller']",141,"['Imagine Entertainment', 'Malpaso Productions', 'Relativity Media']",7.8,211213.0,['Clint Eastwood']
You Don't Know Jack,B003EV6DCG,2010,True,"['Biography', 'Drama']",134,"['Bee Holder Productions', 'Cine Mosaic', 'HBO Films', 'Royal Oak Films']",7.7,23468.0,['Barry Levinson']
Hustle & Flow,B000BITUWU,2005,True,"['Crime', 'Drama', 'Music']",116,"['Crunk Pictures', 'Homegrown Pictures', 'MTV Films', 'New Deal Productions']",7.4,35086.0,['Craig Brewer']
How Stella Got Her Groove Back,6305203512,1998,True,"['Comedy', 'Drama', 'Romance']",124,['Twentieth Century Fox'],5.6,5842.0,['Kevin Rodney Sullivan']
Scary Movie,B00004Z4WQ,2000,True,['Comedy'],88,"['Dimension Films', 'Wayans Bros. Entertainment', 'Gold/Miller Productions', 'Brad Grey Pictures']",6.2,201137.0,['Keenen Ivory Wayans']
