asin,title,actors,box_office,country,director,genre,language,metascore,production,rated,released,runtime,type,writer,year,imdb_id,imdb_rating,imdb_votes
B00DL47KWI,Girl Most Likely,"Kristen Wiig, Annette Bening, Matt Dillon, Darren Criss","$1,378,426",USA,"Shari Springer Berman, Robert Pulcini",Comedy,"English, Romanian",38,Lionsgate/Roadside Attractions,PG-13,18 Jul 2013,103 min,movie,Michelle Morgan,2012,tt1698648,5.8,"13,215"
B00I6JOD8M,Winter's Tale,"Colin Farrell, Matt Bomer, Lucy Griffiths, Michael Crane","$10,628,616",USA,Akiva Goldsman,"Drama, Fantasy, Mystery",English,31,Warner Bros. Pictures,PG-13,14 Feb 2014,118 min,movie,"Akiva Goldsman (screenplay), Mark Helprin (novel)",2014,tt1837709,6.2,"45,262"
0780023110,...And God Created Woman,"Brigitte Bardot, Curd Jürgens, Jean-Louis Trintignant, Jane Marken",N/A,"France, Italy",Roger Vadim,"Drama, Romance","French, English",N/A,Criterion Collection,PG,21 Oct 1957,90 min,movie,"Roger Vadim (original scenario), Raoul Lévy (original scenario)",1956,tt0049189,6.3,"5,991"
6302860326,Agnes of God,"Jane Fonda, Anne Bancroft, Meg Tilly, Anne Pitoniak",N/A,USA,Norman Jewison,"Drama, Mystery","English, French, Latin",N/A,Sony Pictures Home Entertainment,PG-13,27 Sep 1985,98 min,movie,"John Pielmeier (screenplay), John Pielmeier (play)",1985,tt0088683,6.6,"5,797"
0792837339,The Missouri Breaks,"Marlon Brando, Jack Nicholson, Randy Quaid, Kathleen Lloyd",N/A,USA,Arthur Penn,"Drama, Western",English,N/A,MGM,PG,22 May 1976,126 min,movie,Thomas McGuane,1976,tt0074906,6.6,"7,678"
B0046BI81W,Death Race 2,"Luke Goss, Lauren Cohan, Sean Bean, Ving Rhames",N/A,"South Africa, Germany",Roel Reiné,"Action, Sci-Fi, Thriller",English,N/A,Universal Studios Home Entertainment,R,18 Jan 2011,96 min,movie,"Paul W.S. Anderson (characters and story), Tony Giglio (screenplay & story)",2010,tt1500491,5.6,"26,227"
B0007989Y8,L'Eclisse,"Alain Delon, Monica Vitti, Francisco Rabal, Lilla Brignone",N/A,"Italy, France",Michelangelo Antonioni,"Drama, Romance","Italian, English",N/A,Acacias Cine Audience,NOT RATED,20 Dec 1962,126 min,movie,"Michelangelo Antonioni (scenario and dialogue), Tonino Guerra (scenario and dialogue), Elio Bartolini (scenario collaborator), Ottiero Ottieri (scenario collaborator)",1962,tt0056736,7.9,"12,988"
B00005QAQH,Osmosis Jones,"Chris Rock, Laurence Fishburne, David Hyde Pierce, Brandy Norwood","$12,344,938",USA,"Bobby Farrelly, Peter Farrelly","Animation, Action, Adventure",English,57,Warner Bros. Pictures,PG,10 Aug 2001,95 min,movie,Marc Hyman,2001,tt0181739,6.3,"27,465"
B0000203YR,Roy Orbison: Black and White Night 30,"Alex Acuna, Jackson Browne, T Bone Burnett, James Burton",N/A,USA,"Alex Orbison, T Bone Burnett",Music,English,N/A,N/A,N/A,24 Feb 2017,133 min,movie,N/A,2017,tt7183056,N/A,N/A
B00004YA67,Gossip,"James Marsden, Lena Headey, Norman Reedus, Kate Hudson",N/A,USA,Davis Guggenheim,"Drama, Mystery, Thriller","English, Italian",31,Warner Home Video,R,21 Apr 2000,90 min,movie,"Gregory Poirier (story), Gregory Poirier (screenplay), Theresa Rebeck (screenplay)",2000,tt0176783,5.9,"13,041"
