user,item,rating,prediction
A3OT1WCOZLZV5D,6301327756,5.0,4.935583929313978
A1E2POEKKLNLD9,B00005JMJ4,5.0,3.60300323418319
A35PF4XXTB5A8H,B00005O061,5.0,3.9389382272442433
AJUEE2C2EJ0V3,B00005JL3T,3.0,3.394547884072082
A2W39GGRWSFU7K,6302206294,3.0,2.882341962242341
AMYMJ96STIRW,B00BEIYLO8,1.0,3.217894734753494
A1E7VTRDMI4XMV,6304383177,5.0,4.927166002172843
A3SOV9HFM5H9T1,B008220DGE,4.0,3.713561993045813
A2Y1SCM930PZI7,B0001DMVBC,4.0,3.7525414431533584
AUGABW5AS2OXM,6300215865,5.0,5.109068837191046
A3D6DPWQW509R9,6302453224,5.0,5.164102234739888
AO4ZG16RR30OM,6300215695,5.0,5.095150930676821
AYWSFRCIMOAYE,0767825411,2.0,3.442793566432505
A3JXPMX8E59PL1,6301543408,4.0,2.8108172961505273
A3AEN6JWPGUWFM,B00004RYDC,4.0,3.339631442338559
A1BED4EH3VRX5K,B000TGJ8A8,3.0,2.3881495903311123
AC05OLIRGOS7P,0790729342,5.0,4.97629967822098
AS2J1Q4Y0ZM5A,B0009PLLN6,1.0,2.435870477941865
A2KG8WLR1AKO12,B00009NHAR,5.0,3.976600720971821
A2UBSGFCP2QFNV,B007MDB548,4.0,4.939980329803739
A2NZAGMAS7N5ZP,630420065X,4.0,3.6284305261879086
A2YY1J4OPSHQJV,B00AF6B22E,4.0,3.803106329960105
A1OPS217DE4ZRP,B0009OL7Z4,5.0,4.63654283693945
A2RD0B8LLOSMCQ,6300181510,3.0,3.2427353772907717
A17FLA8HQOFVIG,B00009OOFA,1.0,3.117896167981068
A18LMYMKHT65PO,B00CIXVAN8,4.0,4.341257067716449
A2KB14WCZ1DVE3,0783226152,5.0,4.787947611585903
A3F0HT2YG3X6CD,6302843200,3.0,4.749027857488101
A2T049UQONS0OY,B0007PALGG,3.0,3.6034065942249707
AO461REE0KA4J,630401967X,5.0,3.9571255051752754
A203GFDF90DSWD,0788860704,5.0,5.252269553163653
ARFCORBCTKX1J,1558908382,4.0,4.003340316755601
A2GT65YTNYXBW3,B000069HYD,4.0,4.160411217677122
A38RO46GVRD56P,B000BNX3AU,1.0,2.861619300387308
AKD9FWMGD6AZM,B002IKIHE6,2.0,2.1575764388247785
A3SFO2GSP5CVSM,6303449050,5.0,4.151995167362768
A3CX9ZSEFCDXX4,B0027P94CQ,4.0,3.9321406438952375
A2UPE7OTFZS84O,B00CUDD0J8,4.0,1.6296388653727958
A18GP1PWVTKXQQ,B00005JPOE,5.0,2.724584782512192
A23U3IKN7CWO3Y,0790729628,4.0,3.929914915000425
A2V29IO9JQQF5P,B001EAWMGA,5.0,3.9166625941402207
A1R09II733292R,B000BOH8UA,3.0,4.440794465538333
A1EAN2SFKYBJ05,B00005JPAR,4.0,4.158819657675153
A34BP6PCVMX46G,B0000633ZP,3.0,2.708448977986879
A7Y6AVS576M03,B00003CXJ1,5.0,4.565832858420833
A31X9O49RQUNZ1,0790736403,4.0,3.561480747322363
AGU2ZGUBFCJTJ,6301966554,4.0,4.331613906592176
A1XT8AJB7S9JJG,B0059XTUB8,4.0,3.903561179862772
A3KY68OTSNHM3G,B00003CXZ1,4.0,4.433290326397976
ABM4K7QY8N4UZ,6304708432,5.0,3.9858378863211192
A319YRDK8Y39N,B00006CXHU,4.0,3.9724215770722915
A2FI3IJB2W4YJB,6304331851,5.0,4.106132629721962
AIIR8E34EDKCQ,1415720584,5.0,3.6758622322952523
A6FXJ74CGS4EB,1573624039,5.0,3.388096728629981
A3HJAIFRRFHUAB,B004BDOF1C,4.0,4.074003432878831
AD0J5KK4WQXNS,0783113145,4.0,4.386521620700712
A2X6GEC6LCDN4S,B0009S4J1O,5.0,4.794803572737673
A27H9DOUGY9FOS,156219464X,5.0,4.784475086406662
A2WX1UESDOLXRE,B000HCO87C,3.0,3.453327148830289
AUSATFDSU2INS,B00006ADFO,2.0,2.8694451192599284
A31ARSC1LGY8WK,6301599896,4.0,4.373459715516967
AZFCS75RSV25W,0792140923,5.0,4.879227602178174
AAQ9CPQNDWIW,B001CIOCJ4,4.0,4.418939424204153
AP3VHIZBRGO9X,B00005JLZK,4.0,3.2152689814689888
A1VF0102Z9VITO,6304240554,4.0,4.1248208090033005
A3I9DM8V0M6U6H,6305238065,3.0,3.482708150945052
A331OF34UX4Y1K,B0002J4X3O,2.0,1.0474075307531423
A3RFXU3P0XKKF4,B0059XTUVI,2.0,2.7531755391697708
AJMU8VVFKMZI4,0800129806,3.0,3.2428535563720393
A391RY3TA1MCVM,B004NJR4EO,2.0,2.5228342125035947
A2TAPSNKK9AFSQ,6301963725,5.0,4.806281712415428
