user,item,rating,prediction
A3OT1WCOZLZV5D,6301327756,5.0,4.792584406457683
A1E2POEKKLNLD9,B00005JMJ4,5.0,3.400110563920798
A35PF4XXTB5A8H,B00005O061,5.0,3.6259366904441728
AJUEE2C2EJ0V3,B00005JL3T,3.0,3.2261086388189555
A2W39GGRWSFU7K,6302206294,3.0,3.4452561059781557
AMYMJ96STIRW,B00BEIYLO8,1.0,2.1567862214423954
A1E7VTRDMI4XMV,6304383177,5.0,5.5532527295217635
A3SOV9HFM5H9T1,B008220DGE,4.0,3.665719665664453
A2Y1SCM930PZI7,B0001DMVBC,4.0,3.6900684859026778
AUGABW5AS2OXM,6300215865,5.0,5.214938782491958
A3D6DPWQW509R9,6302453224,5.0,4.9509681628346005
AO4ZG16RR30OM,6300215695,5.0,5.142280849273705
AYWSFRCIMOAYE,0767825411,2.0,3.5149466070588735
A3JXPMX8E59PL1,6301543408,4.0,3.003797702668085
A3AEN6JWPGUWFM,B00004RYDC,4.0,3.4536932379572236
A1BED4EH3VRX5K,B000TGJ8A8,3.0,2.8593936079687787
AC05OLIRGOS7P,0790729342,5.0,5.528758446810219
AS2J1Q4Y0ZM5A,B0009PLLN6,1.0,2.2703603069505878
A2KG8WLR1AKO12,B00009NHAR,5.0,3.9431994262805286
A2UBSGFCP2QFNV,B007MDB548,4.0,4.829500899899913
A2NZAGMAS7N5ZP,630420065X,4.0,3.5907781913222587
A2YY1J4OPSHQJV,B00AF6B22E,4.0,3.9642051756499876
A1OPS217DE4ZRP,B0009OL7Z4,5.0,4.134205524992475
A2RD0B8LLOSMCQ,6300181510,3.0,3.2129885506090794
A17FLA8HQOFVIG,B00009OOFA,1.0,3.1840647837633256
A18LMYMKHT65PO,B00CIXVAN8,4.0,4.397289037246184
A2KB14WCZ1DVE3,0783226152,5.0,4.569029089432944
A3F0HT2YG3X6CD,6302843200,3.0,4.731004176261318
A2T049UQONS0OY,B0007PALGG,3.0,3.5746556377189704
AO461REE0KA4J,630401967X,5.0,4.045410709772651
A203GFDF90DSWD,0788860704,5.0,5.306785229753991
ARFCORBCTKX1J,1558908382,4.0,4.078476480505596
A2GT65YTNYXBW3,B000069HYD,4.0,3.901598502844981
A38RO46GVRD56P,B000BNX3AU,1.0,2.778801252458872
AKD9FWMGD6AZM,B002IKIHE6,2.0,2.4602717511821295
A3SFO2GSP5CVSM,6303449050,5.0,3.9292038155489193
A3CX9ZSEFCDXX4,B0027P94CQ,4.0,3.998834587662987
A2UPE7OTFZS84O,B00CUDD0J8,4.0,2.1951728458157542
A18GP1PWVTKXQQ,B00005JPOE,5.0,2.8148954690131958
A23U3IKN7CWO3Y,0790729628,4.0,3.9580785584752833
A2V29IO9JQQF5P,B001EAWMGA,5.0,3.7192202176012987
A1R09II733292R,B000BOH8UA,3.0,4.515151891941196
A1EAN2SFKYBJ05,B00005JPAR,4.0,4.168398346570567
A34BP6PCVMX46G,B0000633ZP,3.0,2.5076120754006115
A7Y6AVS576M03,B00003CXJ1,5.0,4.6364831647202775
A31X9O49RQUNZ1,0790736403,4.0,3.7371552349090598
AGU2ZGUBFCJTJ,6301966554,4.0,4.135466378259151
A1XT8AJB7S9JJG,B0059XTUB8,4.0,3.8818767642743115
A3KY68OTSNHM3G,B00003CXZ1,4.0,4.369538569635194
ABM4K7QY8N4UZ,6304708432,5.0,4.341134580287274
A319YRDK8Y39N,B00006CXHU,4.0,4.016628479967365
A2FI3IJB2W4YJB,6304331851,5.0,3.5226638132650065
AIIR8E34EDKCQ,1415720584,5.0,3.9055924794051173
A6FXJ74CGS4EB,1573624039,5.0,3.6472956549880546
A3HJAIFRRFHUAB,B004BDOF1C,4.0,3.8293809147602307
AD0J5KK4WQXNS,0783113145,4.0,4.300146534525352
A2X6GEC6LCDN4S,B0009S4J1O,5.0,4.801358442204091
A27H9DOUGY9FOS,156219464X,5.0,4.690388692439542
A2WX1UESDOLXRE,B000HCO87C,3.0,3.38465137210641
AUSATFDSU2INS,B00006ADFO,2.0,3.151740346313902
A31ARSC1LGY8WK,6301599896,4.0,4.262537721468322
AZFCS75RSV25W,0792140923,5.0,4.8151017899078115
AAQ9CPQNDWIW,B001CIOCJ4,4.0,4.436304133985534
AP3VHIZBRGO9X,B00005JLZK,4.0,3.6185024934802574
A1VF0102Z9VITO,6304240554,4.0,3.8769816509272492
