,asin,reviewerID,overall,reviewTime
682603,B00005U0JX,A1JH5J1KQAUBMP,5.0,"04 4, 2004"
1180647,B001DHXT1G,A1RSXP7MB772E3,4.0,"10 24, 2008"
1473372,B005LAIHSG,A2SQJPUCZNHMZE,5.0,"06 2, 2012"
1465009,B005LAIGPA,A2YM3KILJ1G0YJ,5.0,"02 4, 2012"
275215,6301963725,A2J57EQ9KPGXR9,5.0,"02 4, 2003"
20171,0767833902,A3DE438TF1A958,2.0,"05 23, 2014"
799176,B0001BKAEE,AUM3YMZ0YRJE0,5.0,"06 3, 2004"
1103707,B000VQQJ8U,A19ZXK9HHVRV1X,2.0,"06 10, 2007"
176204,1419838830,A20EEWWSFMZ1PN,4.0,"11 30, 2013"
797362,B0001A79EO,ASJ89T42CIUHU,3.0,"07 20, 2004"
53285,0783225792,A1J03J0HZ7KU5T,2.0,"02 17, 2011"
611708,B00005JM1F,A2Q13PHEXGR48Q,4.0,"08 5, 2003"
1151139,B0015XHP22,A331OF34UX4Y1K,2.0,"05 30, 2009"
1429013,B004UXUX4Q,A3NQU1649SH0Q4,3.0,"03 22, 2012"
1563174,B008JFUPPI,A2G4OOTGXFEXFU,5.0,"01 1, 2014"
739425,B00008DDVU,A9Q28YTLYREO7,5.0,"11 16, 2003"
20113,0767833902,A2W9J1ZCL5N1ZB,3.0,"03 23, 2000"
678948,B00005RDSN,A16EAJTQ59LK8Z,4.0,"06 20, 2002"
633640,B00005JNP4,AS6SH2JM2YY3H,5.0,"03 18, 2006"
1053112,B000N3T0DW,A1TJPMB7N776WS,5.0,"11 5, 2006"
320439,630256185X,ANCOMAI0I7LVG,5.0,"04 23, 2014"
1591586,B009AMAKBI,AQ0EO10KTRJ4V,2.0,"02 3, 2013"
1665783,B00E8RK5OC,A2ZA9MYCJTO44C,3.0,"11 6, 2013"
561524,B00004Z4WQ,A19ZXK9HHVRV1X,3.0,"12 9, 2000"
647713,B00005JPAM,A1MNUAXPWP8BUJ,3.0,"11 7, 2012"
1287207,B002SJIO4A,A2XRMQA6PJ5ZJ8,3.0,"02 14, 2010"
1191291,B001FB5634,AW3VZ5O895LRK,2.0,"09 7, 2011"
689805,B00005YU1M,A2W00XKTTF1G0Z,2.0,"07 24, 2002"
225844,6300247171,A3S9887MZFNNH1,4.0,"01 27, 2000"
96361,0790731487,ASIA7V7CBSKD3,5.0,"09 10, 2005"
1512519,B0067EKYS6,A3QNDSQJFA360M,4.0,"10 4, 2013"
1686868,B00H9KKGTO,A2BFIYZYNK54QX,5.0,"01 20, 2014"
59296,0783227507,A3A48XEYWLWH7T,4.0,"10 22, 2003"
1499439,B005S9EJ8W,A1WVA7V02PQOY6,5.0,"10 9, 2012"
861333,B00065HKKW,ACMAUJEBY6GJF,3.0,"03 27, 2005"
1154951,B0016Q2D5M,A9TG2NFA614S9,4.0,"08 30, 2008"
126313,0792140923,A2C7BOQVFH1HLE,5.0,"08 7, 2009"
795095,B00018D40O,A2CK0VXUDVXGMN,4.0,"09 2, 2007"
946366,B000BO0LH2,AKD0Y0W8NSK0D,2.0,"04 11, 2013"
1581753,B0090SI56Y,A3LTZGHZBBBQX0,4.0,"07 31, 2013"
891605,B0007V6IT4,A3U56M0Y8LYO6J,3.0,"11 24, 2005"
618017,B00005JMEW,A3KJ6JAZPH382D,3.0,"10 27, 2003"
633062,B00005JNOG,AIRHRV3D8X4J1,5.0,"09 7, 2005"
1680513,B00GSBMNOQ,A328S9RN3U5M68,5.0,"04 17, 2014"
457139,6305265488,A3KWXO6QE62Z5E,5.0,"03 31, 2001"
470797,6305609756,AD5JI9UN98JPH,5.0,"09 5, 2012"
1475846,B005LAIHXQ,A1PME65QLLQSLA,5.0,"12 23, 2012"
810521,B0001MDP36,AR37967IAR6ZT,3.0,"12 11, 2003"
1683016,B00H1RMOI6,AJVFPC26GHXGF,4.0,"05 23, 2014"
960727,B000CQM4XI,A173G0GN4479RG,3.0,"02 21, 2006"
484048,6305949638,A3CWH6VKCTJAD,5.0,"08 19, 2000"
659914,B00005JPY0,A1F1FOR46702YF,5.0,"12 10, 2008"
585926,B00005JKDQ,A5KJVGJ43ZDC9,5.0,"09 28, 2002"
676609,B00005QZ7U,A29E6IO3DZG6IY,2.0,"08 22, 2010"
946444,B000BO0LH2,A2MNMZMM6BGLTA,4.0,"01 31, 2006"
182502,1559409037,AD0J5KK4WQXNS,5.0,"10 22, 2003"
423244,6304457316,A2TOU0N8XE68W4,4.0,"12 11, 2002"
901934,B000957O7S,A2C5VLIJMDPWHI,4.0,"02 13, 2005"
1217070,B001MFNB4E,AHABFECTNE15I,4.0,"02 20, 2009"
931631,B000ARFPMQ,A2UKC6QFG9L5GV,5.0,"10 2, 2005"
805842,B0001HAISG,A385C064Y38OFK,5.0,"03 6, 2006"
611043,B00005JM0B,A1GHUN5HXMHZ89,4.0,"11 13, 2003"
611280,B00005JM0B,A3HLUNEJUT3MSP,1.0,"07 8, 2003"
915387,B0009X763C,A1N7YA81ZI4KAF,3.0,"02 5, 2006"
519000,B00003CWQ2,A2198O25QYUPXE,5.0,"10 2, 2011"
1377845,B003ZSJ212,A28UFJF5K9DESN,1.0,"03 25, 2011"
1511700,B0067EKYAY,A1NFCJXNYVJ0O1,4.0,"07 10, 2014"
333658,6302783356,A3U56M0Y8LYO6J,2.0,"01 11, 2004"
1113731,B000XA5K48,A12RMAJXRPQWTY,4.0,"09 7, 2008"
1158830,B00188M5TM,A39CX0EE4BZCZC,5.0,"07 28, 2009"
264809,6301767799,A1POFVVXUZR3IQ,5.0,"04 26, 2007"
1306232,B002ZG9864,A1OH0GXCXPZ6MK,5.0,"02 1, 2012"
590423,B00005JKQZ,A3ICCTSCBT7GS9,5.0,"02 19, 2003"
140871,0792838408,A2RH7ARWQSUVQV,4.0,"12 10, 2008"
632691,B00005JNNZ,A1PGC1GEBY9CZU,5.0,"03 30, 2014"
896989,B000803BQC,A3LZGLA88K0LA0,3.0,"06 4, 2005"
904464,B0009ETCVA,A3C6CZC2JP67VK,2.0,"02 22, 2006"
1240782,B001UV4XHY,A2ZA9MYCJTO44C,5.0,"12 17, 2011"
431441,6304680724,AC0HPFQVBZVGY,5.0,"08 11, 2006"
632345,B00005JNLQ,A1K3NQAO49LXL2,5.0,"12 24, 2008"
504356,B00000IO3S,ANOAF9M5MTJHN,5.0,"09 20, 2011"
647985,B00005JPAR,A1L9MIIBI7409N,4.0,"05 19, 2008"
517811,B00003CWM2,ANN4JW1E08AS6,2.0,"11 3, 2008"
840996,B0002MJT0I,ANBQIWHO9JRFS,5.0,"12 24, 2004"
392109,6303957064,A2EDZH51XHFA9B,3.0,"08 24, 2006"
774426,B0000CABBW,A1A535W556ROBQ,4.0,"05 29, 2004"
913608,B0009UZGIM,A29BQ6B90Y1R5F,4.0,"04 30, 2005"
